time,open,high,low,close
2025-05-12T17:00:00+02:00,3237.64,3241.185,3235.975,3236.57
2025-05-12T17:15:00+02:00,3236.575,3242.675,3232.725,3239.145
2025-05-12T17:30:00+02:00,3239.155,3240.865,3235.83,3239.185
2025-05-12T17:45:00+02:00,3239.235,3243.99,3237.585,3239.305
2025-05-12T18:00:00+02:00,3239.26,3240.14,3231.275,3231.575
2025-05-12T18:15:00+02:00,3231.535,3232.65,3225.82,3227.465
2025-05-12T18:30:00+02:00,3227.44,3230.555,3226.375,3228.195
2025-05-12T18:45:00+02:00,3228.195,3228.99,3223.215,3224.29
2025-05-12T19:00:00+02:00,3224.3,3225.21,3221.185,3222.855
2025-05-12T19:15:00+02:00,3222.87,3227.68,3222.775,3224.04
2025-05-12T19:30:00+02:00,3224.03,3227.42,3224.03,3225.7
2025-05-12T19:45:00+02:00,3225.705,3226.15,3222.635,3223.265
2025-05-12T20:00:00+02:00,3223.27,3225.405,3222.695,3222.785
2025-05-12T20:15:00+02:00,3222.78,3224.03,3220.325,3223.85
2025-05-12T20:30:00+02:00,3223.855,3224.46,3220.96,3223.38
2025-05-12T20:45:00+02:00,3223.425,3230.165,3223.42,3229.77
2025-05-12T21:00:00+02:00,3229.8,3234.42,3228.985,3232.685
2025-05-12T21:15:00+02:00,3232.685,3238.845,3232.42,3237.875
2025-05-12T21:30:00+02:00,3237.88,3238.875,3234.865,3234.935
2025-05-12T21:45:00+02:00,3234.97,3236.61,3234.25,3235.44
2025-05-12T22:00:00+02:00,3235.45,3237.11,3232.55,3236.74
2025-05-12T22:15:00+02:00,3236.69,3238.515,3235.26,3235.27
2025-05-12T22:30:00+02:00,3235.22,3236.62,3235.105,3235.625
2025-05-12T22:45:00+02:00,3235.6,3236.565,3234.1,3235.075
2025-05-13T00:00:00+02:00,3237.93,3238.05,3233.02,3235.97
2025-05-13T00:15:00+02:00,3236.045,3238.045,3234.905,3237.125
2025-05-13T00:30:00+02:00,3237.13,3237.525,3234.73,3235.785
2025-05-13T00:45:00+02:00,3235.855,3235.92,3229.825,3233.965
2025-05-13T01:00:00+02:00,3233.86,3237.35,3233.435,3234.535
2025-05-13T01:15:00+02:00,3234.545,3236.395,3234.0,3235.88
2025-05-13T01:30:00+02:00,3235.87,3240.16,3234.835,3238.29
2025-05-13T01:45:00+02:00,3238.28,3240.005,3235.57,3236.875
2025-05-13T02:00:00+02:00,3236.86,3243.425,3235.84,3241.44
2025-05-13T02:15:00+02:00,3241.63,3241.875,3235.65,3237.375
2025-05-13T02:30:00+02:00,3237.3,3240.225,3233.96,3235.48
2025-05-13T02:45:00+02:00,3235.675,3240.685,3234.87,3239.96
2025-05-13T03:00:00+02:00,3239.935,3243.43,3235.035,3235.965
2025-05-13T03:15:00+02:00,3235.955,3239.105,3229.915,3229.99
2025-05-13T03:30:00+02:00,3230.155,3230.175,3216.465,3217.325
2025-05-13T03:45:00+02:00,3217.375,3227.365,3215.855,3225.315
2025-05-13T04:00:00+02:00,3225.385,3229.26,3223.31,3228.58
2025-05-13T04:15:00+02:00,3228.57,3229.365,3226.015,3226.155
2025-05-13T04:30:00+02:00,3226.14,3239.13,3225.125,3238.535
2025-05-13T04:45:00+02:00,3238.46,3241.355,3228.04,3228.99
2025-05-13T05:00:00+02:00,3228.985,3233.815,3228.25,3233.6
2025-05-13T05:15:00+02:00,3233.615,3235.15,3232.565,3234.475
2025-05-13T05:30:00+02:00,3234.45,3236.565,3233.49,3234.75
2025-05-13T05:45:00+02:00,3234.785,3238.55,3234.615,3236.75
2025-05-13T06:00:00+02:00,3236.72,3237.635,3235.2,3235.2
2025-05-13T06:15:00+02:00,3235.27,3238.675,3234.955,3238.635
2025-05-13T06:30:00+02:00,3238.65,3247.85,3238.375,3247.095
2025-05-13T06:45:00+02:00,3247.06,3253.675,3246.3,3252.71
2025-05-13T07:00:00+02:00,3252.795,3260.875,3251.225,3260.27
2025-05-13T07:15:00+02:00,3260.355,3260.36,3255.59,3257.915
2025-05-13T07:30:00+02:00,3257.705,3258.385,3252.555,3253.04
2025-05-13T07:45:00+02:00,3253.045,3257.195,3251.66,3256.58
2025-05-13T08:00:00+02:00,3256.635,3258.4,3247.34,3251.25
2025-05-13T08:15:00+02:00,3251.225,3255.98,3248.62,3254.12
2025-05-13T08:30:00+02:00,3254.125,3257.9,3251.75,3257.795
2025-05-13T08:45:00+02:00,3257.755,3265.785,3257.48,3262.25
2025-05-13T09:00:00+02:00,3262.23,3265.005,3259.32,3259.34
2025-05-13T09:15:00+02:00,3259.26,3261.04,3256.15,3256.8
2025-05-13T09:30:00+02:00,3256.825,3258.04,3254.315,3256.195
2025-05-13T09:45:00+02:00,3256.195,3260.11,3255.895,3259.185
2025-05-13T10:00:00+02:00,3259.215,3261.35,3257.5,3258.43
2025-05-13T10:15:00+02:00,3258.425,3259.765,3253.585,3254.165
2025-05-13T10:30:00+02:00,3254.165,3255.23,3252.135,3254.475
2025-05-13T10:45:00+02:00,3254.455,3256.655,3250.385,3255.515
2025-05-13T11:00:00+02:00,3255.575,3256.015,3253.35,3253.91
2025-05-13T11:15:00+02:00,3254.08,3256.845,3252.43,3252.725
2025-05-13T11:30:00+02:00,3252.735,3255.19,3250.595,3251.795
2025-05-13T11:45:00+02:00,3251.815,3255.895,3251.51,3253.435
2025-05-13T12:00:00+02:00,3253.42,3255.155,3251.19,3251.835
2025-05-13T12:15:00+02:00,3251.78,3256.265,3251.505,3254.805
2025-05-13T12:30:00+02:00,3254.81,3255.575,3252.54,3253.94
2025-05-13T12:45:00+02:00,3253.945,3254.64,3251.9,3253.01
2025-05-13T13:00:00+02:00,3253.005,3254.445,3251.72,3252.96
2025-05-13T13:15:00+02:00,3252.95,3258.655,3250.4,3255.89
2025-05-13T13:30:00+02:00,3255.91,3258.67,3253.905,3254.9
2025-05-13T13:45:00+02:00,3254.88,3255.81,3248.845,3249.25
2025-05-13T14:00:00+02:00,3249.175,3249.965,3240.505,3241.765
2025-05-13T14:15:00+02:00,3241.82,3242.78,3237.33,3240.625
2025-05-13T14:30:00+02:00,3241.6,3247.97,3238.03,3247.355
2025-05-13T14:45:00+02:00,3247.36,3249.07,3240.195,3241.87
2025-05-13T15:00:00+02:00,3241.81,3247.03,3240.855,3243.435
2025-05-13T15:15:00+02:00,3243.395,3246.43,3236.4,3244.57
2025-05-13T15:30:00+02:00,3244.51,3245.715,3231.955,3238.18
2025-05-13T15:45:00+02:00,3238.0,3239.19,3227.32,3227.585
2025-05-13T16:00:00+02:00,3227.54,3235.195,3225.505,3232.395
2025-05-13T16:15:00+02:00,3232.43,3241.235,3231.59,3240.64
2025-05-13T16:30:00+02:00,3240.62,3248.27,3239.335,3247.93
2025-05-13T16:45:00+02:00,3247.965,3248.79,3242.48,3242.7
2025-05-13T17:00:00+02:00,3242.92,3248.155,3241.98,3245.51
2025-05-13T17:15:00+02:00,3245.46,3248.655,3243.475,3247.95
2025-05-13T17:30:00+02:00,3247.965,3251.96,3245.765,3250.73
2025-05-13T17:45:00+02:00,3250.765,3255.965,3250.09,3253.42
2025-05-13T18:00:00+02:00,3253.5,3258.0,3252.78,3256.935
2025-05-13T18:15:00+02:00,3256.92,3257.165,3252.695,3253.725
2025-05-13T18:30:00+02:00,3253.79,3255.67,3250.035,3250.39
2025-05-13T18:45:00+02:00,3250.44,3251.5,3248.78,3251.095
2025-05-13T19:00:00+02:00,3251.085,3252.835,3247.245,3247.34
2025-05-13T19:15:00+02:00,3247.405,3248.025,3242.115,3243.71
2025-05-13T19:30:00+02:00,3243.81,3245.52,3242.275,3243.99
2025-05-13T19:45:00+02:00,3243.98,3247.85,3243.98,3247.185
2025-05-13T20:00:00+02:00,3247.19,3249.915,3246.245,3246.515
2025-05-13T20:15:00+02:00,3246.52,3248.585,3245.855,3247.545
2025-05-13T20:30:00+02:00,3247.565,3250.515,3247.525,3249.8
2025-05-13T20:45:00+02:00,3249.785,3250.89,3248.25,3248.775
2025-05-13T21:00:00+02:00,3248.84,3249.965,3247.34,3247.51
2025-05-13T21:15:00+02:00,3247.525,3250.195,3246.45,3249.375
2025-05-13T21:30:00+02:00,3249.3,3249.93,3247.695,3249.44
2025-05-13T21:45:00+02:00,3249.49,3251.225,3247.81,3249.45
2025-05-13T22:00:00+02:00,3249.47,3249.975,3248.125,3249.525
2025-05-13T22:15:00+02:00,3249.56,3254.485,3248.74,3254.205
2025-05-13T22:30:00+02:00,3254.26,3254.885,3252.125,3253.725
2025-05-13T22:45:00+02:00,3253.77,3254.21,3249.755,3250.18
2025-05-14T00:00:00+02:00,3252.0,3252.28,3250.14,3250.44
2025-05-14T00:15:00+02:00,3250.445,3251.92,3250.14,3251.425
2025-05-14T00:30:00+02:00,3251.43,3253.565,3249.53,3252.03
2025-05-14T00:45:00+02:00,3252.065,3254.645,3251.73,3254.635
2025-05-14T01:00:00+02:00,3254.595,3257.14,3254.385,3255.335
2025-05-14T01:15:00+02:00,3255.325,3255.775,3253.525,3255.225
2025-05-14T01:30:00+02:00,3255.29,3255.74,3252.175,3255.63
2025-05-14T01:45:00+02:00,3255.63,3256.085,3253.485,3254.46
2025-05-14T02:00:00+02:00,3254.44,3254.75,3243.93,3245.31
2025-05-14T02:15:00+02:00,3245.205,3247.505,3241.71,3247.045
2025-05-14T02:30:00+02:00,3246.985,3249.845,3244.71,3244.88
2025-05-14T02:45:00+02:00,3244.88,3246.29,3240.67,3243.805
2025-05-14T03:00:00+02:00,3243.815,3246.31,3238.76,3243.27
2025-05-14T03:15:00+02:00,3243.265,3250.65,3240.515,3250.625
2025-05-14T03:30:00+02:00,3250.645,3251.905,3242.76,3244.78
2025-05-14T03:45:00+02:00,3244.76,3246.84,3237.315,3239.03
2025-05-14T04:00:00+02:00,3238.93,3241.635,3235.495,3238.84
2025-05-14T04:15:00+02:00,3238.855,3238.855,3233.98,3235.4
2025-05-14T04:30:00+02:00,3235.36,3238.885,3228.895,3232.985
2025-05-14T04:45:00+02:00,3233.005,3236.34,3231.965,3232.85
2025-05-14T05:00:00+02:00,3232.855,3233.71,3228.415,3229.385
2025-05-14T05:15:00+02:00,3229.49,3231.785,3226.69,3229.175
2025-05-14T05:30:00+02:00,3229.275,3232.2,3226.72,3229.7
2025-05-14T05:45:00+02:00,3229.825,3229.98,3226.26,3228.455
2025-05-14T06:00:00+02:00,3228.46,3229.985,3224.635,3224.7
2025-05-14T06:15:00+02:00,3224.685,3227.19,3222.58,3226.37
2025-05-14T06:30:00+02:00,3226.385,3230.505,3226.145,3226.995
2025-05-14T06:45:00+02:00,3227.0,3229.575,3222.705,3224.035
2025-05-14T07:00:00+02:00,3224.025,3227.955,3221.565,3225.025
2025-05-14T07:15:00+02:00,3225.02,3227.1,3223.935,3224.135
2025-05-14T07:30:00+02:00,3224.14,3230.185,3221.945,3228.745
2025-05-14T07:45:00+02:00,3228.685,3234.545,3228.205,3233.98
2025-05-14T08:00:00+02:00,3233.995,3236.895,3232.55,3233.485
2025-05-14T08:15:00+02:00,3233.42,3235.0,3230.37,3230.745
2025-05-14T08:30:00+02:00,3230.73,3233.09,3228.625,3232.75
2025-05-14T08:45:00+02:00,3232.705,3234.36,3227.775,3228.735
2025-05-14T09:00:00+02:00,3228.74,3231.9,3224.31,3226.835
2025-05-14T09:15:00+02:00,3226.84,3233.555,3225.855,3233.015
2025-05-14T09:30:00+02:00,3233.07,3238.785,3229.34,3235.715
2025-05-14T09:45:00+02:00,3235.705,3238.92,3234.23,3238.085
2025-05-14T10:00:00+02:00,3238.135,3243.96,3235.43,3235.69
2025-05-14T10:15:00+02:00,3235.695,3239.495,3233.12,3234.495
2025-05-14T10:30:00+02:00,3234.425,3235.52,3230.505,3231.315
2025-05-14T10:45:00+02:00,3231.34,3235.775,3231.3,3232.595
2025-05-14T11:00:00+02:00,3232.62,3234.985,3229.7,3232.545
2025-05-14T11:15:00+02:00,3232.605,3233.705,3229.405,3231.66
2025-05-14T11:30:00+02:00,3231.515,3236.095,3229.155,3234.8
2025-05-14T11:45:00+02:00,3234.76,3236.655,3232.375,3232.44
2025-05-14T12:00:00+02:00,3232.445,3234.235,3230.12,3234.205
2025-05-14T12:15:00+02:00,3234.2,3235.305,3232.055,3233.22
2025-05-14T12:30:00+02:00,3233.065,3234.465,3230.35,3231.54
2025-05-14T12:45:00+02:00,3231.545,3236.615,3229.74,3235.725
2025-05-14T13:00:00+02:00,3235.66,3237.925,3234.51,3237.61
2025-05-14T13:15:00+02:00,3237.545,3239.2,3235.495,3237.285
2025-05-14T13:30:00+02:00,3237.29,3238.075,3230.725,3231.28
2025-05-14T13:45:00+02:00,3231.18,3231.45,3219.575,3220.215
2025-05-14T14:00:00+02:00,3220.21,3222.605,3212.745,3213.615
2025-05-14T14:15:00+02:00,3213.585,3217.205,3208.625,3213.05
2025-05-14T14:30:00+02:00,3213.04,3216.815,3200.135,3201.03
2025-05-14T14:45:00+02:00,3201.085,3201.9,3184.225,3184.87
2025-05-14T15:00:00+02:00,3185.005,3188.91,3175.57,3179.55
2025-05-14T15:15:00+02:00,3179.57,3190.77,3174.87,3186.85
2025-05-14T15:30:00+02:00,3186.74,3194.055,3183.69,3189.285
2025-05-14T15:45:00+02:00,3189.365,3198.395,3189.18,3191.505
2025-05-14T16:00:00+02:00,3191.425,3194.37,3185.465,3186.395
2025-05-14T16:15:00+02:00,3186.355,3189.545,3179.415,3185.665
2025-05-14T16:30:00+02:00,3185.675,3186.21,3180.545,3186.205
2025-05-14T16:45:00+02:00,3186.105,3192.125,3180.92,3181.725
2025-05-14T17:00:00+02:00,3181.865,3183.785,3179.185,3180.38
2025-05-14T17:15:00+02:00,3180.365,3186.725,3179.48,3185.535
2025-05-14T17:30:00+02:00,3185.525,3186.775,3180.365,3181.455
2025-05-14T17:45:00+02:00,3181.44,3182.86,3179.585,3182.65
2025-05-14T18:00:00+02:00,3182.695,3183.73,3179.16,3180.22
2025-05-14T18:15:00+02:00,3180.175,3185.735,3179.555,3183.655
2025-05-14T18:30:00+02:00,3183.66,3184.15,3173.775,3179.64
2025-05-14T18:45:00+02:00,3179.62,3191.08,3179.595,3188.635
2025-05-14T19:00:00+02:00,3188.62,3190.655,3185.6,3186.71
2025-05-14T19:15:00+02:00,3186.69,3188.46,3184.15,3184.36
2025-05-14T19:30:00+02:00,3184.39,3185.19,3181.09,3182.0
2025-05-14T19:45:00+02:00,3182.02,3183.15,3180.985,3181.99
2025-05-14T20:00:00+02:00,3182.07,3183.135,3175.325,3175.89
2025-05-14T20:15:00+02:00,3175.865,3178.97,3175.84,3177.55
2025-05-14T20:30:00+02:00,3177.545,3178.955,3175.2,3175.215
2025-05-14T20:45:00+02:00,3175.175,3177.115,3171.78,3172.035
2025-05-14T21:00:00+02:00,3172.065,3172.865,3168.065,3171.22
2025-05-14T21:15:00+02:00,3171.26,3175.14,3169.65,3173.915
2025-05-14T21:30:00+02:00,3173.91,3179.285,3172.71,3178.64
2025-05-14T21:45:00+02:00,3178.705,3181.605,3177.005,3180.625
2025-05-14T22:00:00+02:00,3180.635,3181.64,3179.32,3180.68
2025-05-14T22:15:00+02:00,3180.715,3180.865,3178.45,3180.16
2025-05-14T22:30:00+02:00,3180.19,3183.365,3179.95,3180.695
2025-05-14T22:45:00+02:00,3180.71,3182.15,3176.985,3177.585
2025-05-15T00:00:00+02:00,3181.06,3183.945,3180.425,3180.715
2025-05-15T00:15:00+02:00,3180.69,3183.99,3180.675,3183.52
2025-05-15T00:30:00+02:00,3183.45,3183.89,3180.205,3182.205
2025-05-15T00:45:00+02:00,3182.18,3182.875,3181.07,3182.775
2025-05-15T01:00:00+02:00,3182.74,3185.87,3181.255,3185.145
