Trade,Risk ($),P/L ($),Balance Pre ($),Balance Post ($)
90,1339.6808674047802,-1339.6808674047802,116793.6173480956,115453.93648069083
91,1272.6968240345414,3181.7469179674003,115453.93648069083,118635.68339865822
92,1431.784169932911,3579.465282718269,118635.68339865822,122215.1486813765
93,1833.2272302206472,4583.079133210979,122215.1486813765,126798.22781458747
94,1901.973417218812,-1901.973417218812,126798.22781458747,124896.25439736866
95,1873.4438159605297,-1873.4438159605297,124896.25439736866,123022.81058140812
96,1845.3421587211217,4613.34991538224,123022.81058140812,127636.16049679035
97,1914.5424074518553,-1914.5424074518553,127636.16049679035,125721.6180893385
98,1885.8242713400775,-1885.8242713400775,125721.6180893385,123835.79381799842
99,1857.5369072699762,-1857.5369072699762,123835.79381799842,121978.25691072844
100,1829.6738536609264,-1829.6738536609264,121978.25691072844,120148.5830570675
101,1802.2287458560124,-1802.2287458560124,120148.5830570675,118346.35431121149
102,1417.3177155605742,3543.2991252059064,118346.35431121149,121889.65343641739
103,1828.3448015462607,4570.867549513992,121889.65343641739,126460.52098593138
104,1896.9078147889707,-1896.9078147889707,126460.52098593138,124563.61317114241
105,1868.4541975671361,-1868.4541975671361,124563.61317114241,122695.15897357528
106,1840.4273846036292,-1840.4273846036292,122695.15897357528,120854.73158897166
107,1812.8209738345747,-1812.8209738345747,120854.73158897166,119041.91061513708
108,1452.095530756854,-1452.095530756854,119041.91061513708,117589.81508438023
109,1379.4907542190115,-1379.4907542190115,117589.81508438023,116210.32433016122
110,1310.5162165080612,-1310.5162165080612,116210.32433016122,114899.80811365317
111,1244.9904056826585,3112.4808208595905,114899.80811365317,118012.28893451276
112,1400.6144467256381,3501.526503547796,118012.28893451276,121513.81543806056
113,1822.7072315709083,-1822.7072315709083,121513.81543806056,119691.10820648965
114,1484.5554103244824,-1484.5554103244824,119691.10820648965,118206.55279616517
115,1410.3276398082585,3525.814332548965,118206.55279616517,121732.36712871413
116,1825.9855069307118,-1825.9855069307118,121732.36712871413,119906.38162178342
117,1495.3190810891713,3738.29297360384,119906.38162178342,123644.67459538726
118,1854.6701189308087,-1854.6701189308087,123644.67459538726,121790.00447645645
119,1826.8500671468466,4567.125167867116,121790.00447645645,126357.12964432356
120,1895.3569446648535,4738.377405166334,126357.12964432356,131095.50704948988
121,1966.4326057423482,-1966.4326057423482,131095.50704948988,129129.07444374754
122,1936.936116656213,-1936.936116656213,129129.07444374754,127192.13832709132
123,1907.8820749063698,-1907.8820749063698,127192.13832709132,125284.25625218495
124,1879.263843782774,-1879.263843782774,125284.25625218495,123404.99240840218
125,1851.0748861260327,-1851.0748861260327,123404.99240840218,121553.91752227614
126,1823.308762834142,-1823.308762834142,121553.91752227614,119730.608759442
127,1486.5304379720997,-1486.5304379720997,119730.608759442,118244.07832146989
128,1412.2039160734944,-1412.2039160734944,118244.07832146989,116831.87440539639
129,1341.5937202698194,-1341.5937202698194,116831.87440539639,115490.28068512656
130,1274.5140342563282,-1274.5140342563282,115490.28068512656,114215.76665087024
131,1210.7883325435118,-1210.7883325435118,114215.76665087024,113004.97831832673
132,1150.2489159163365,-1150.2489159163365,113004.97831832673,111854.72940241039
133,1092.7364701205195,-1092.7364701205195,111854.72940241039,110761.99293228987
134,1038.0996466144934,-1038.0996466144934,110761.99293228987,109723.89328567538
135,986.194664283769,-986.194664283769,109723.89328567538,108737.69862139161
136,936.8849310695805,-936.8849310695805,108737.69862139161,107800.81369032203
137,890.0406845161015,2225.1017112902537,107800.81369032203,110025.91540161228
138,1001.2957700806139,2503.234696978604,110025.91540161228,112529.15009859088
139,1126.457504929544,-1126.457504929544,112529.15009859088,111402.69259366134
140,1070.134629683067,-1070.134629683067,111402.69259366134,110332.55796397827
141,1016.6278981989133,-1016.6278981989133,110332.55796397827,109315.93006577935
142,965.7965032889675,-965.7965032889675,109315.93006577935,108350.13356249039
143,917.5066781245193,-917.5066781245193,108350.13356249039,107432.62688436586
144,871.6313442182931,-871.6313442182931,107432.62688436586,106560.99554014757
145,828.0497770073787,2070.1102579165454,106560.99554014757,108631.10579806412
146,931.555289903206,-931.555289903206,108631.10579806412,107699.55050816092
147,884.9775254080457,-884.9775254080457,107699.55050816092,106814.57298275287
148,840.7286491376435,-840.7286491376435,106814.57298275287,105973.84433361523
149,798.6922166807614,-798.6922166807614,105973.84433361523,105175.15211693446
150,758.7576058467232,-758.7576058467232,105175.15211693446,104416.39451108774
151,720.819725554387,-720.819725554387,104416.39451108774,103695.57478553335
152,684.7787392766674,-684.7787392766674,103695.57478553335,103010.79604625668
153,650.5398023128342,1626.354234023348,103010.79604625668,104637.15028028004
154,731.8575140140019,-731.8575140140019,104637.15028028004,103905.29276626604
155,695.2646383133018,-695.2646383133018,103905.29276626604,103210.02812795274
156,660.5014063976371,-660.5014063976371,103210.02812795274,102549.5267215551
157,627.4763360777549,-627.4763360777549,102549.5267215551,101922.05038547734
158,596.1025192738671,-596.1025192738671,101922.05038547734,101325.94786620347
159,566.2973933101733,-566.2973933101733,101325.94786620347,100759.65047289329
160,537.9825236446646,-537.9825236446646,100759.65047289329,100221.66794924863
161,511.08339746243144,1277.7084936560786,100221.66794924863,101499.3764429047
162,574.968822145235,-574.968822145235,101499.3764429047,100924.40762075946
163,546.2203810379731,-546.2203810379731,100924.40762075946,100378.18723972149
164,518.9093619860745,-518.9093619860745,100378.18723972149,99859.27787773541
165,492.9638938867705,-492.9638938867705,99859.27787773541,99366.31398384864
166,468.3156991924319,-468.3156991924319,99366.31398384864,98897.9982846562
167,444.89991423281026,-444.89991423281026,98897.9982846562,98453.0983704234
168,422.65491852116975,-422.65491852116975,98453.0983704234,98030.44345190222
169,401.5221725951109,-401.5221725951109,98030.44345190222,97628.9212793071
170,381.4460639653553,-381.4460639653553,97628.9212793071,97247.47521534175
171,362.3737607670875,-362.3737607670875,97247.47521534175,96885.10145457466
172,344.2550727287329,-344.2550727287329,96885.10145457466,96540.84638184593
173,327.0423190922964,817.6057977307412,96540.84638184593,97358.45217957666
174,367.9226089788332,919.8112506786221,97358.45217957666,98278.26343025529
175,413.9131715127645,-413.9131715127645,98278.26343025529,97864.35025874253
176,393.21751293712657,-393.21751293712657,97864.35025874253,97471.1327458054
177,373.55663729027003,933.8868650197505,97471.1327458054,98405.01961082515
178,420.2509805412577,1050.6227231631785,98405.01961082515,99455.64233398833
179,472.78211669941663,-472.78211669941663,99455.64233398833,98982.86021728892
180,449.1430108644461,-449.1430108644461,98982.86021728892,98533.71720642448
181,426.685860321224,-426.685860321224,98533.71720642448,98107.03134610326
182,405.3515673051632,-405.3515673051632,98107.03134610326,97701.6797787981
183,385.0839889399052,962.7099723497629,97701.6797787981,98664.38975114787
184,433.21948755739356,1083.048718893484,98664.38975114787,99747.43847004135
185,487.3719235020675,-487.3719235020675,99747.43847004135,99260.06654653928
186,463.00332732696404,-463.00332732696404,99260.06654653928,98797.06321921232
187,439.8531609606158,-439.8531609606158,98797.06321921232,98357.2100582517
188,417.86050291258505,-417.86050291258505,98357.2100582517,97939.34955533911
189,396.96747776695554,-396.96747776695554,97939.34955533911,97542.38207757215
190,377.1191038786077,-377.1191038786077,97542.38207757215,97165.26297369355
191,358.26314868467745,895.6484153650567,97165.26297369355,98060.9113890586
192,403.04556945293007,-403.04556945293007,98060.9113890586,97657.86581960568
193,382.89329098028395,957.2426839409786,97657.86581960568,98615.10850354665
194,430.75542517733265,-430.75542517733265,98615.10850354665,98184.35307836931
195,409.21765391846566,-409.21765391846566,98184.35307836931,97775.13542445085
196,388.75677122254274,-388.75677122254274,97775.13542445085,97386.37865322831
197,369.3189326614156,923.2926034633884,97386.37865322831,98309.6712566917
198,415.48356283458486,1038.6947225644362,98309.6712566917,99348.36597925614
199,467.4182989628069,-467.4182989628069,99348.36597925614,98880.94768029333
200,444.04738401466676,-444.04738401466676,98880.94768029333,98436.90029627866
201,421.84501481393306,-421.84501481393306,98436.90029627866,98015.05528146472
202,400.75276407323616,-400.75276407323616,98015.05528146472,97614.3025173915
203,380.7151258695747,951.7878146739367,97614.3025173915,98566.09033206543
204,428.3045166032716,-428.3045166032716,98566.09033206543,98137.78581546216
205,406.8892907731082,-406.8892907731082,98137.78581546216,97730.89652468906
206,386.5448262344529,966.3715221089386,97730.89652468906,98697.268046798
207,434.8634023398998,-434.8634023398998,98697.268046798,98262.40464445809
208,413.12023222290446,-413.12023222290446,98262.40464445809,97849.28441223518
209,392.46422061175906,981.1700080428334,97849.28441223518,98830.45442027801
210,441.5227210139004,1103.8068025347511,98830.45442027801,99934.26122281275
211,496.7130611406377,1241.792109369531,99934.26122281275,101176.05333218229
212,558.8026666091143,-558.8026666091143,101176.05333218229,100617.25066557317
213,530.8625332786585,-530.8625332786585,100617.25066557317,100086.38813229451
214,504.31940661472544,-504.31940661472544,100086.38813229451,99582.06872567978
215,479.10343628398914,1197.7585907099729,99582.06872567978,100779.82731638975
216,538.9913658194877,-538.9913658194877,100779.82731638975,100240.83595057027
217,512.0417975285134,-512.0417975285134,100240.83595057027,99728.79415304176
218,486.439707652088,-486.439707652088,99728.79415304176,99242.35444538968
219,462.1177222694838,1155.2943056737095,99242.35444538968,100397.64875106339
220,519.8824375531694,1299.715550417367,100397.64875106339,101697.36430148076
221,584.8682150740381,-584.8682150740381,101697.36430148076,101112.49608640673
222,555.6248043203362,-555.6248043203362,101112.49608640673,100556.87128208639
223,527.8435641043194,1319.6183667723917,100556.87128208639,101876.48964885878
224,593.8244824429391,1484.5517497011685,101876.48964885878,103361.04139855996
225,668.052069927998,-668.052069927998,103361.04139855996,102692.98932863196
226,634.6494664315978,1586.6189378633997,102692.98932863196,104279.60826649536
227,713.9804133247678,-713.9804133247678,104279.60826649536,103565.62785317059
228,678.2813926585295,1695.6987534310588,103565.62785317059,105261.32660660165
229,763.0663303300826,-763.0663303300826,105261.32660660165,104498.26027627157
230,724.9130138135785,1812.282534533946,104498.26027627157,106310.54281080552
